"ID","Age","Gender","ContractEndDate","DataUsage","pChurn","Risk","Churn","BaseDate"
"Cust_1",38,"m","20191205T000000.000 GMT",36703,0.380369847836641,"Accept",TRUE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_2",20,"m","20200623T230000.000 GMT",685,0.0574260328755046,"Accept",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_3",20,"f","20190630T230000.000 GMT",23338,0.268862686622653,"Reject",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_4",26,"f","20200311T000000.000 GMT",12714,0.0568240028402404,"Reject",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_5",45,"f","20190406T230000.000 GMT",20167,0.223304636156701,"Accept",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_6",66,"f","20200214T000000.000 GMT",16354,0.0889391637012101,"Reject",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_7",24,"m","20190727T230000.000 GMT",39151,0.316831045681985,"Accept",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_8",23,"m","20190526T230000.000 GMT",22332,0.477015557838652,"Reject",TRUE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_9",57,"f","20200701T230000.000 GMT",31704,0.0382165035491862,"Accept",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_10",44,"f","20190911T230000.000 GMT",18753,0.105874955630189,"Reject",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_11",24,"m","20191105T000000.000 GMT",30538,0.300944218892494,"Accept",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_12",57,"f","20200324T000000.000 GMT",24877,0.0761223581272084,"Accept",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_13",51,"m","20200514T230000.000 GMT",9012,0.0808926983050783,"Accept",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_14",41,"m","20200810T230000.000 GMT",47443,0.0392501195752293,"Accept",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_15",16,"m","20200108T000000.000 GMT",24944,0.236588505706795,"Reject",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_16",41,"m","20190706T230000.000 GMT",48892,0.349725511302974,"Reject",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_17",61,"f","20200128T000000.000 GMT",28291,0.12742366541904,"Accept",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_18",55,"m","20190605T230000.000 GMT",26405,0.445465660117031,"Accept",TRUE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_19",42,"f","20191005T230000.000 GMT",3130,0.139907998625669,"Accept",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_20",73,"m","20191118T000000.000 GMT",45789,0.266819916958227,"Reject",TRUE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_21",20,"f","20200228T000000.000 GMT",16187,0.0716905658643271,"Reject",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_22",38,"m","20190409T230000.000 GMT",38180,0.565694128197609,"Reject",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_23",52,"m","20191011T230000.000 GMT",46172,0.293918131214044,"Reject",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_24",51,"f","20200103T000000.000 GMT",47503,0.146793112627202,"Reject",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_25",31,"m","20200415T230000.000 GMT",40815,0.142722176930418,"Accept",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_26",21,"f","20200817T230000.000 GMT",32778,0.0211138928731775,"Reject",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_27",44,"f","20190822T230000.000 GMT",12437,0.138770686004388,"Reject",FALSE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_28",48,"m","20200901T230000.000 GMT",26665,0.0284762395695942,"Reject",TRUE,"Mon Nov 5 16:00:00 CET 2018"
"Cust_29",61,"f","20190527T230000.000 GMT",32302,0.168998698149959,"Accept",TRUE,"Mon Nov 5 16:00:00 CET 2018"
